iter	Passed	Remaining
0	183	182833
1	226	112794
2	267	88955
3	320	79850
4	366	72856
5	415	68884
6	463	65813
7	525	65207
8	616	67846
9	660	65403
10	706	63541
11	753	62041
12	838	63635
13	923	65048
14	983	64585
15	1028	63235
16	1068	61808
17	1115	60832
18	1163	60056
19	1205	59090
20	1247	58179
21	1307	58132
22	1368	58125
23	1417	57636
24	1487	58025
25	1531	57369
26	1584	57095
27	1662	57722
28	1725	57774
29	1783	57668
30	1861	58199
31	1908	57719
32	1950	57164
33	2001	56870
34	2045	56405
35	2171	58140
36	2216	57686
37	2259	57202
38	2336	57568
39	2425	58223
40	2483	58088
41	2549	58153
42	2626	58460
43	2684	58321
44	2738	58107
45	2797	58026
46	2841	57620
47	2883	57186
48	2934	56951
49	2981	56647
50	3030	56383
51	3074	56045
52	3117	55707
53	3201	56081
54	3260	56016
55	3303	55688
56	3346	55364
57	3385	54982
58	3425	54626
59	3477	54484
60	3527	54306
61	3575	54086
62	3614	53753
63	3654	53442
64	3715	53448
65	3764	53269
66	3806	53001
67	3867	53009
68	3925	52970
69	4035	53619
70	4108	53760
71	4157	53588
72	4200	53344
73	4247	53146
74	4289	52903
75	4372	53165
76	4463	53506
77	4514	53362
78	4561	53173
79	4597	52872
80	4635	52591
81	4678	52378
82	4719	52137
83	4758	51889
84	4796	51637
85	4834	51384
86	4874	51152
87	4952	51330
88	4993	51116
89	5073	51302
90	5132	51271
91	5184	51164
92	5239	51101
93	5280	50896
94	5319	50672
95	5357	50450
96	5397	50243
97	5434	50017
98	5472	49803
99	5515	49640
100	5565	49538
101	5621	49494
102	5667	49360
103	5740	49454
104	5813	49552
105	5859	49417
106	5926	49459
107	6000	49557
108	6066	49591
109	6112	49458
110	6155	49301
111	6203	49185
112	6246	49030
113	6288	48872
114	6328	48701
115	6368	48533
116	6452	48695
117	6506	48631
118	6560	48569
119	6606	48450
120	6668	48443
121	6749	48574
122	6828	48684
123	6906	48790
124	6960	48722
125	7001	48566
126	7040	48393
127	7078	48225
128	7118	48060
129	7155	47888
130	7207	47813
131	7249	47670
132	7288	47510
133	7327	47358
134	7367	47204
135	7406	47052
136	7445	46904
137	7484	46748
138	7533	46663
139	7574	46530
140	7614	46391
141	7653	46246
142	7692	46104
143	7733	45968
144	7772	45828
145	7811	45691
146	7853	45571
147	7892	45434
148	7932	45304
149	7982	45234
150	8023	45112
151	8070	45025
152	8115	44925
153	8165	44856
154	8221	44819
155	8284	44823
156	8351	44844
157	8406	44799
158	8447	44683
159	8501	44634
160	8546	44537
161	8605	44516
162	8652	44430
163	8696	44331
164	8743	44247
165	8786	44142
166	8824	44014
167	8862	43892
168	8921	43866
169	8961	43753
170	9022	43739
171	9077	43696
172	9117	43585
173	9166	43516
174	9212	43429
175	9250	43310
176	9288	43189
177	9379	43312
178	9441	43306
179	9488	43225
180	9541	43171
181	9582	43069
182	9622	42957
183	9667	42871
184	9709	42774
185	9749	42667
186	9789	42560
187	9840	42503
188	9928	42601
189	9984	42564
190	10050	42569
191	10121	42593
192	10166	42511
193	10208	42411
194	10257	42345
195	10303	42265
196	10351	42192
197	10391	42092
198	10443	42034
199	10488	41955
200	10538	41892
201	10624	41973
202	10685	41953
203	10752	41954
204	10809	41918
205	10859	41856
206	10919	41832
207	10978	41802
208	11072	41905
209	11121	41839
210	11187	41832
211	11260	41856
212	11320	41826
213	11395	41853
214	11444	41785
215	11513	41788
216	11558	41706
217	11599	41609
218	11641	41516
219	11681	41415
220	11720	41312
221	11759	41212
222	11797	41107
223	11839	41014
224	11877	40911
225	11917	40813
226	11987	40820
227	12037	40759
228	12080	40671
229	12126	40598
230	12167	40505
231	12211	40423
232	12276	40412
233	12366	40480
234	12415	40416
235	12484	40415
236	12554	40416
237	12616	40392
238	12710	40470
239	12768	40435
240	12839	40435
241	12894	40388
242	12940	40311
243	12980	40218
244	13029	40151
245	13071	40063
246	13134	40042
247	13188	39991
248	13230	39905
249	13278	39834
250	13339	39806
251	13389	39743
252	13433	39662
253	13471	39565
254	13514	39482
255	13560	39408
256	13612	39353
257	13651	39261
258	13707	39217
259	13757	39154
260	13798	39070
261	13838	38978
262	13900	38953
263	13945	38878
264	13986	38792
265	14040	38742
266	14094	38695
267	14161	38680
268	14206	38606
269	14252	38533
270	14291	38444
271	14331	38356
272	14374	38280
273	14431	38238
274	14475	38162
275	14525	38102
276	14553	37985
277	14597	37911
278	14635	37821
279	14674	37734
280	14712	37644
281	14751	37559
282	14790	37473
283	14828	37385
284	14878	37326
285	14917	37242
286	14985	37228
287	15049	37204
288	15140	37247
289	15201	37218
290	15243	37139
291	15301	37100
292	15344	37026
293	15393	36965
294	15431	36879
295	15471	36795
296	15533	36767
297	15581	36705
298	15622	36626
299	15688	36606
300	15737	36545
301	15816	36556
302	15865	36496
303	15912	36431
304	15956	36360
305	15998	36283
306	16047	36223
307	16112	36200
308	16156	36130
309	16220	36102
310	16262	36028
311	16313	35974
312	16355	35898
313	16444	35926
314	16518	35920
315	16561	35849
316	16604	35774
317	16643	35695
318	16719	35692
319	16763	35623
320	16801	35539
321	16839	35457
322	16878	35376
323	16918	35298
324	16977	35261
325	17018	35184
326	17058	35109
327	17111	35057
328	17156	34990
329	17204	34930
330	17247	34859
331	17292	34794
332	17336	34724
333	17374	34645
334	17417	34575
335	17463	34510
336	17509	34446
337	17562	34397
338	17612	34341
339	17652	34267
340	17691	34189
341	17728	34110
342	17773	34043
343	17811	33965
344	17852	33894
345	17893	33822
346	17956	33791
347	18014	33751
348	18056	33681
349	18106	33625
350	18144	33550
351	18198	33501
352	18238	33429
353	18294	33384
354	18345	33332
355	18390	33267
356	18434	33202
357	18477	33135
358	18526	33078
359	18568	33011
360	18610	32941
361	18650	32869
362	18689	32797
363	18728	32724
364	18764	32645
365	18804	32573
366	18853	32517
367	18905	32467
368	18950	32406
369	18998	32348
370	19040	32282
371	19080	32211
372	19120	32140
373	19156	32064
374	19197	31996
375	19241	31933
376	19282	31864
377	19321	31792
378	19359	31721
379	19399	31651
380	19457	31611
381	19509	31561
382	19557	31506
383	19600	31443
384	19647	31384
385	19692	31323
386	19739	31267
387	19781	31201
388	19822	31135
389	19868	31076
390	19911	31013
391	19966	30968
392	20013	30911
393	20085	30893
394	20135	30841
395	20183	30784
396	20226	30721
397	20270	30660
398	20311	30594
399	20371	30556
400	20414	30493
401	20459	30434
402	20508	30380
403	20550	30317
404	20590	30250
405	20652	30216
406	20716	30184
407	20787	30162
408	20836	30109
409	20914	30096
410	20996	30089
411	21061	30059
412	21109	30003
413	21153	29942
414	21205	29892
415	21249	29831
416	21325	29814
417	21411	29811
418	21488	29796
419	21531	29734
420	21587	29689
421	21662	29669
422	21735	29649
423	21798	29613
424	21849	29561
425	21891	29496
426	21936	29436
427	21984	29381
428	22050	29349
429	22124	29327
430	22169	29268
431	22214	29208
432	22255	29143
433	22298	29080
434	22339	29016
435	22392	28966
436	22445	28916
437	22484	28850
438	22527	28788
439	22575	28732
440	22628	28682
441	22672	28623
442	22717	28563
443	22756	28496
444	22797	28432
445	22838	28368
446	22880	28306
447	22919	28239
448	22966	28184
449	23008	28121
450	23064	28076
451	23123	28034
452	23170	27978
453	23232	27940
454	23277	27881
455	23316	27816
456	23362	27759
457	23403	27695
458	23440	27628
459	23495	27581
460	23544	27528
461	23595	27476
462	23636	27414
463	23681	27355
464	23743	27318
465	23799	27272
466	23845	27215
467	23885	27151
468	23925	27088
469	23998	27062
470	24049	27010
471	24108	26968
472	24169	26928
473	24217	26874
474	24266	26820
475	24308	26759
476	24351	26699
477	24390	26635
478	24430	26572
479	24511	26553
480	24554	26494
481	24605	26443
482	24647	26383
483	24689	26321
484	24747	26278
485	24817	26246
486	24880	26209
487	24921	26147
488	24980	26104
489	25074	26097
490	25125	26046
491	25182	26001
492	25240	25957
493	25292	25906
494	25343	25855
495	25387	25796
496	25465	25773
497	25523	25728
498	25565	25668
499	25605	25605
500	25645	25543
501	25693	25489
502	25737	25430
503	25793	25383
504	25840	25328
505	25902	25288
506	25975	25258
507	26023	25203
508	26082	25160
509	26127	25103
510	26168	25041
511	26209	24980
512	26249	24919
513	26299	24866
514	26339	24805
515	26379	24743
516	26420	24683
517	26462	24622
518	26507	24566
519	26548	24506
520	26596	24452
521	26671	24423
522	26719	24369
523	26756	24305
524	26796	24244
525	26860	24204
526	26905	24148
527	26955	24096
528	27006	24045
529	27049	23987
530	27098	23934
531	27144	23879
532	27194	23827
533	27236	23768
534	27280	23711
535	27322	23652
536	27376	23604
537	27466	23586
538	27521	23538
539	27592	23504
540	27654	23462
541	27715	23420
542	27762	23365
543	27828	23327
544	27883	23278
545	27956	23246
546	28004	23192
547	28046	23132
548	28092	23078
549	28132	23017
550	28184	22967
551	28248	22926
552	28307	22881
553	28396	22860
554	28469	22826
555	28514	22770
556	28554	22710
557	28590	22647
558	28631	22587
559	28670	22526
560	28713	22469
561	28750	22407
562	28794	22350
563	28832	22288
564	28870	22227
565	28964	22209
566	29032	22171
567	29078	22116
568	29122	22059
569	29162	21999
570	29203	21940
571	29286	21913
572	29332	21858
573	29408	21825
574	29465	21778
575	29508	21721
576	29551	21664
577	29590	21604
578	29630	21544
579	29667	21483
580	29708	21424
581	29743	21362
582	29782	21302
583	29820	21242
584	29885	21201
585	29935	21148
586	29994	21103
587	30048	21054
588	30092	20998
589	30139	20944
590	30190	20893
591	30229	20833
592	30265	20772
593	30306	20714
594	30342	20653
595	30379	20592
596	30419	20534
597	30487	20495
598	30531	20438
599	30579	20386
600	30624	20331
601	30673	20279
602	30714	20221
603	30778	20179
604	30856	20146
605	30908	20095
606	30959	20044
607	31034	20008
608	31089	19960
609	31172	19929
610	31216	19874
611	31269	19824
612	31318	19772
613	31365	19718
614	31408	19661
615	31450	19605
616	31491	19548
617	31532	19490
618	31571	19432
619	31636	19390
620	31701	19347
621	31756	19298
622	31800	19243
623	31845	19188
624	31887	19132
625	31934	19079
626	31979	19024
627	32056	18988
628	32111	18940
629	32190	18905
630	32262	18866
631	32333	18827
632	32393	18780
633	32436	18725
634	32476	18667
635	32541	18624
636	32592	18572
637	32642	18521
638	32705	18476
639	32793	18446
640	32848	18397
641	32891	18341
642	32930	18283
643	32969	18225
644	33028	18178
645	33077	18125
646	33120	18070
647	33180	18023
648	33240	17977
649	33285	17922
650	33326	17866
651	33368	17810
652	33406	17752
653	33452	17698
654	33497	17643
655	33555	17596
656	33599	17541
657	33639	17484
658	33680	17428
659	33745	17383
660	33788	17328
661	33826	17270
662	33863	17212
663	33935	17172
664	33998	17126
665	34048	17075
666	34089	17019
667	34130	16963
668	34172	16907
669	34211	16850
670	34277	16806
671	34325	16754
672	34371	16700
673	34419	16648
674	34476	16599
675	34524	16547
676	34591	16503
677	34672	16466
678	34770	16437
679	34839	16395
680	34920	16357
681	34975	16308
682	35018	16253
683	35061	16197
684	35101	16141
685	35140	16084
686	35179	16027
687	35226	15974
688	35284	15926
689	35347	15880
690	35445	15850
691	35518	15808
692	35573	15758
693	35619	15705
694	35661	15650
695	35704	15594
696	35741	15537
697	35780	15481
698	35820	15425
699	35876	15375
700	35920	15321
701	35971	15270
702	36033	15223
703	36074	15167
704	36122	15115
705	36169	15062
706	36208	15005
707	36244	14948
708	36297	14897
709	36339	14842
710	36378	14786
711	36451	14744
712	36498	14691
713	36544	14638
714	36606	14591
715	36653	14538
716	36692	14482
717	36735	14428
718	36779	14374
719	36839	14326
720	36887	14273
721	36926	14218
722	36966	14162
723	37004	14106
724	37043	14051
725	37115	14007
726	37196	13968
727	37248	13917
728	37294	13863
729	37345	13812
730	37391	13759
731	37443	13708
732	37497	13658
733	37541	13605
734	37598	13555
735	37641	13501
736	37721	13461
737	37797	13418
738	37848	13367
739	37921	13323
740	38000	13282
741	38053	13231
742	38104	13180
743	38154	13128
744	38196	13073
745	38245	13022
746	38293	12969
747	38332	12914
748	38370	12858
749	38407	12802
750	38451	12748
751	38496	12695
752	38537	12641
753	38601	12593
754	38643	12540
755	38685	12485
756	38771	12445
757	38829	12396
758	38873	12343
759	38921	12290
760	38962	12236
761	39031	12190
762	39074	12137
763	39119	12083
764	39192	12039
765	39285	12000
766	39344	11952
767	39418	11907
768	39464	11854
769	39537	11810
770	39589	11758
771	39636	11706
772	39677	11651
773	39714	11596
774	39756	11542
775	39803	11489
776	39846	11436
777	39923	11392
778	39974	11340
779	40014	11286
780	40057	11232
781	40103	11179
782	40145	11126
783	40201	11075
784	40249	11023
785	40294	10970
786	40336	10917
787	40386	10865
788	40453	10818
789	40514	10769
790	40553	10715
791	40611	10665
792	40665	10615
793	40714	10563
794	40759	10510
795	40809	10458
796	40852	10405
797	40894	10351
798	40936	10298
799	40974	10243
800	41020	10191
801	41074	10140
802	41138	10092
803	41183	10039
804	41242	9990
805	41296	9939
806	41367	9893
807	41411	9840
808	41451	9786
809	41529	9741
810	41592	9692
811	41655	9644
812	41704	9592
813	41762	9542
814	41805	9489
815	41845	9435
816	41886	9382
817	41946	9332
818	41990	9280
819	42037	9227
820	42076	9173
821	42113	9119
822	42154	9066
823	42213	9016
824	42293	8971
825	42362	8923
826	42418	8873
827	42477	8823
828	42516	8770
829	42557	8716
830	42597	8662
831	42635	8609
832	42673	8555
833	42726	8504
834	42766	8450
835	42824	8400
836	42864	8347
837	42918	8296
838	42976	8246
839	43027	8195
840	43068	8142
841	43114	8090
842	43152	8036
843	43190	7983
844	43229	7929
845	43270	7876
846	43347	7830
847	43395	7778
848	43452	7728
849	43498	7676
850	43578	7630
851	43628	7578
852	43672	7526
853	43716	7473
854	43762	7421
855	43803	7368
856	43840	7315
857	43880	7262
858	43919	7209
859	43964	7157
860	44015	7105
861	44079	7056
862	44150	7008
863	44198	6957
864	44242	6904
865	44298	6854
866	44339	6801
867	44384	6749
868	44435	6698
869	44533	6654
870	44593	6604
871	44654	6554
872	44697	6502
873	44737	6449
874	44795	6399
875	44896	6355
876	44959	6305
877	45010	6254
878	45068	6203
879	45148	6156
880	45193	6104
881	45257	6054
882	45336	6007
883	45414	5959
884	45462	5907
885	45526	5857
886	45581	5806
887	45627	5754
888	45673	5702
889	45726	5651
890	45834	5607
891	45889	5556
892	45949	5505
893	46017	5456
894	46069	5404
895	46118	5353
896	46195	5304
897	46255	5254
898	46294	5201
899	46332	5148
900	46369	5095
901	46416	5043
902	46455	4990
903	46495	4937
904	46534	4884
905	46572	4831
906	46611	4779
907	46648	4726
908	46709	4676
909	46813	4629
910	46899	4581
911	46945	4529
912	47003	4478
913	47046	4426
914	47085	4374
915	47125	4321
916	47163	4268
917	47220	4217
918	47272	4166
919	47317	4114
920	47361	4062
921	47414	4011
922	47472	3960
923	47540	3910
924	47609	3860
925	47657	3808
926	47704	3756
927	47754	3705
928	47798	3653
929	47842	3601
930	47883	3548
931	47924	3496
932	47965	3444
933	48037	3394
934	48082	3342
935	48139	3291
936	48188	3239
937	48227	3187
938	48266	3135
939	48305	3083
940	48344	3031
941	48393	2979
942	48447	2928
943	48492	2876
944	48537	2824
945	48603	2774
946	48655	2723
947	48697	2671
948	48743	2619
949	48782	2567
950	48847	2516
951	48933	2467
952	48979	2415
953	49024	2363
954	49084	2312
955	49126	2261
956	49177	2209
957	49226	2158
958	49269	2106
959	49316	2054
960	49359	2003
961	49407	1951
962	49454	1900
963	49498	1848
964	49551	1797
965	49594	1745
966	49643	1694
967	49692	1642
968	49737	1591
969	49775	1539
970	49813	1487
971	49857	1436
972	49900	1384
973	49959	1333
974	50001	1282
975	50047	1230
976	50094	1179
977	50140	1127
978	50194	1076
979	50252	1025
980	50295	974
981	50336	922
982	50393	871
983	50452	820
984	50542	769
985	50607	718
986	50673	667
987	50724	616
988	50781	564
989	50823	513
990	50869	461
991	50917	410
992	50976	359
993	51020	307
994	51069	256
995	51133	205
996	51212	154
997	51285	102
998	51336	51
999	51386	0
